Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,78.60412554,82.10916213,81.18855853,75.82151903,71.6414823,45.97378898,63.23061162,69.92285205,61.68208032,64.75706379,65.51613352,63.71521974,74.27303344,..,..
Afghanistan,AFG,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,17.63595657,22.63776189,19.49218152,22.66551429,27.69308133,15.57716849,22.14397624,9.951415566,7.12335062,5.659176238,9.847585159,8.082422074,6.868970641,..,..
Albania,ALB,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,7.358619123,8.951707892,5.903346808,14.71596039,22.23461437,20.24488789,25.75758863,23.83472597,25.06949621,18.28666948,26.37618007,28.98938568,26.42058237,22.44307621,22.26983556,23.84840796,27.03558961,30.50549517,29.85075758,29.99539733,45.0203007,33.73955133,28.94591877
Albania,ALB,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,3.122730574,3.29618212,3.134243256,8.476781381,11.51774289,19.50306626,17.52013662,15.18652825,12.65173433,8.838924988,10.9761181,8.133430018,7.874644485,9.948117215,8.924220198,9.887975058,10.3211949,10.21313525,9.164979046,9.855713357,19.42509754,16.37791245,8.727839447
Algeria,DZA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,36.65855637,53.74203822,51.33615202,53.18844425,53.70044589,62.94471506,65.72133997,64.08819176,63.93333042,59.09829897,58.37029567,60.04919972,61.24117618,62.91657965,62.79426091,72.06257181,69.5802828,63.38837115
Algeria,DZA,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,48.52487891,52.63622325,56.63797158,62.36026167,67.45185331,66.50129002,65.41625728,56.58517703,53.62640567,56.08333829,55.8521513,58.42558624,59.58686437,61.44851116,54.7333471,57.92692119,51.51783942,47.71934167
American Samoa,ASM,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.032127553,13.45268112,11.17617387,..
Andorra,AND,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.82232369,57.59358253,51.00874229,..
Angola,AGO,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,80.76174798,79.67901235,74.02294801,67.9159622,74.13616574,39.87572062,93.59250053,22.21331187,9.121997983,9.165933168,11.09876746,8.114630179,6.68938508,4.356363757,3.992516263,5.425356827,7.798874012,8.233131005,9.394259087,8.513261609,63.07164644,60.50433237,52.58679887
Angola,AGO,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,77.50722263,82.61812846,77.43608976,66.20595045,73.16526186,75.54760498,68.00540389,72.61754979,70.61245408,72.20215092,73.02087112,80.79718706,76.87119386,72.71435055,74.71747755,71.20644306,64.2039036,62.40809537,52.39291094,48.93782545,41.86427241,44.02835027,45.97898115
Antigua and Barbuda,ATG,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,8.247556173,8.851003257,7.73754934,7.899291023,8.41615553,9.815118345,9.589903363,12.19649059,10.73955967,8.145494878,6.520334165,6.462981663,6.417030406,6.86506904,5.748356854,7.162713736,6.439438249,5.890254319,5.363063559,4.939878637,9.973275699,9.927842356,..
Antigua and Barbuda,ATG,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,29.78979644,26.81943486,26.32321583,26.92336454,25.665846,29.24083851,28.57063857,25.08157487,18.96075576,18.42484769,22.21553614,24.28729193,23.28941157,24.44999768,50.11804598,54.07484499,57.04427198,53.91773879,52.59992624,53.21114793,51.10635912,51.29594713,..
Argentina,ARG,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,13.42794782,18.8560837,30.64714303,31.15066367,32.8047096,36.34959048,36.83105564,37.40280854,41.73269361,45.8401902,43.33188134,46.08468001,47.00789316,47.04612688,43.11346183,43.57142236,46.25223209,51.03756909,48.83544603,49.31774499,65.71853184,75.54510616,58.44841361
Argentina,ARG,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,18.86865699,21.5796751,27.72677586,26.74100321,28.29738277,27.88963233,32.19682883,31.74835779,32.87621532,37.12353473,35.41169291,36.7336011,36.0094061,37.77424343,37.88903068,34.60708794,31.18441689,31.06022446,31.85081552,36.60134406,53.48809287,56.50875999,39.6397092
Armenia,ARM,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,20.04348501,23.90053469,27.34674215,37.60751667,24.34716411,21.99661628,16.64864209,16.22704739,18.77156441,16.24155821,18.06602349,27.98551462,26.36383544,27.6561438,26.16238312,24.28160287,24.81369174,25.76438233,24.56198906,22.3750461,46.76830885,33.00553918,23.10725315
Armenia,ARM,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,10.71647877,38.89131283,33.08720773,30.80496914,26.3445844,21.24767846,20.9018883,15.04334685,12.79763167,14.82030399,12.87437065,10.17965937,9.307869857,8.725123691,8.853981538,10.47381945,10.1702005,9.09915302,10.90562675,10.06172088,19.63329422,19.065794,11.48508612
Aruba,ABW,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,42.19164089,51.65137869,27.77171096,43.44704211,10.05042366,10.29990717,12.92803221,12.13939534,10.66699535,14.58532637,14.7505423,13.85819367,15.05807611,14.89822056,14.2982023,14.69691933,7.010246187,6.792165201,6.368800671,6.414345969,11.41561562,7.438836966,7.191790423
Aruba,ABW,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,29.8384429,30.42502627,33.8221304,33.56192533,33.61310077,42.03203352,44.55074595,42.0144313,39.50817258,40.29722532,42.78741393,40.93267834,45.39113104,43.84726405,44.54449765,41.55175691,44.64621891,44.45920228,44.81377458,42.94143397,45.96730149,44.32312716,40.87240748
Australia,AUS,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,24.45955786,19.78341666,21.43387754,21.35251156,20.486265,20.14240869,21.47251932,22.136988,23.20319465,22.01971176,22.10390324,22.11327974,23.30095318,22.85275624,21.72072833,20.87956491,20.48568939,20.36847603,20.36127919,21.37457655,33.33389801,46.06531184,39.69703411
Australia,AUS,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,26.35483508,27.53185672,28.78718493,27.92606732,23.10874362,22.28887045,22.72486251,24.57788421,26.23774046,28.25386993,26.6680352,26.90557116,28.08859266,27.31326164,27.04823287,27.62501315,26.07158684,26.37744232,26.38258101,27.98567428,51.93686997,55.63764188,35.10762142
Austria,AUT,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,39.60548863,31.79361675,31.66110466,31.93461029,33.29183241,31.3384733,33.25222869,35.17364538,37.11854633,39.02705177,39.2709408,39.81237708,40.74539677,41.60392876,41.92768303,49.28682045,52.46825387,49.15689688
Austria,AUT,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,44.99378827,35.92363723,35.74215106,37.54076208,37.54559499,35.20441035,36.16459715,38.61090423,43.15396671,43.7302336,44.28667372,44.67424162,45.215275,47.83349794,49.24061221,57.27187469,54.06908006,50.24194548
Azerbaijan,AZE,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,22.20103735,20.17079653,17.34521446,32.66024779,44.06128421,52.45498726,34.26955211,40.29259405,37.16055839,48.21818074,45.19810763,29.5085051,31.91278961,22.06523105,16.35827449,13.00145352,11.80662131,13.90342332,16.69472495,21.28378756,23.8410903,27.34791783,22.06495805
Azerbaijan,AZE,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,41.98674242,57.36266136,77.39185029,83.92688245,83.29512978,77.42716029,70.63553907,69.71585413,71.69028358,64.05395418,55.7132147,51.10900224,50.60203587,50.72395999,59.23281896,55.90767239,52.33132834,51.65582523,39.97703196,46.58062211,65.58062114,60.62224316,60.98507507
"Bahamas, The",BHS,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,7.883646829,4.408535555,10.71717744,10.55680737,12.2580616,13.56175108,12.04024651,12.53555481,11.9072038,9.425255826,7.782432264,7.055837709,8.038113438,8.308194079,8.986268986,7.170781769,6.167731502,4.800380865,6.578691458,4.693674924,17.22081863,5.484196174,..
"Bahamas, The",BHS,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,39.72006028,33.7721745,38.32687526,35.10102512,39.95756295,33.18287837,42.73109077,42.88901274,40.90702106,36.43536176,33.2315677,39.62590253,42.98978895,50.92681785,55.37243971,40.85770447,46.18254159,43.45980143,41.48950685,43.61629073,58.89361544,49.53858624,..
Bahrain,BHR,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,12.93254135,14.0302558,15.13477873,10.58484822,31.63251349,28.43428273,27.27586923,27.3699422,27.39930721,28.87886151,27.51146573,35.73273079,25.24098308,25.69613917,25.26374581,21.05186353,18.14466397,19.2725825,19.22024624,..,..,..,..
Bahrain,BHR,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,9.734954443,8.683104107,6.505496885,6.189268173,10.15619092,9.746478873,9.65919446,10.10085216,9.485130355,11.53376108,11.02889851,18.61821445,16.54347061,14.50231962,15.41231885,12.01436237,10.2095819,10.56019639,10.18143502,..,..,..,..
Bangladesh,BGD,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,44.21562598,46.2390635,52.65558032,67.34066838,65.13681659,70.82466086,77.59727462,81.29189093,78.75169442,72.22491697,75.35608466,69.73265504,59.18957266,54.90857906,62.3237938,62.89712787,64.06830471,57.20210861,62.31390322,63.57828279,67.39562094,64.56585636,63.56541613
Bangladesh,BGD,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,8.146914493,8.956653614,7.444373159,6.850768477,7.086114545,14.84708757,15.83086268,13.5758584,9.116180346,7.179537347,8.437995759,6.046192298,7.032291293,6.618156931,11.955492,9.434586006,10.75378094,11.5631148,13.7238395,17.32558094,19.94288102,17.14339584,11.5125259
Barbados,BRB,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,21.05251011,21.75879686,26.04536635,18.81904356,17.85617973,23.03210795,17.61799496,11.92070716,15.90068375,16.93902797,15.34203436,17.22159919,17.67082487,26.37127654,29.12976146,26.69216691,19.85657702,23.4023082,..,..,..,..,..
Barbados,BRB,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,33.73431975,32.45815135,36.6152319,44.30830228,38.97329473,47.40420676,45.06836765,46.21634039,56.65603217,62.57014874,61.87982355,57.04768038,61.14309091,72.20356263,70.51565702,66.21939925,65.8770187,69.82828825,..,..,..,..,..
Belarus,BLR,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,31.66150465,25.06181561,28.31565486,32.85952183,32.89893891,31.25,24.35931208,24.22318178,26.3558952,28.31067438,27.73934064,27.71367521,31.18471579,37.63543658,40.28700639,43.52035303,45.37460993,44.59708005,44.86434988,48.19868031,53.17573341,52.51770824,..
Belarus,BLR,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,37.11168639,24.64245032,22.96393599,29.64399013,26.3677499,27.11465314,21.78850248,23.34472962,22.98817212,27.93682132,28.43799682,32.12716694,37.41504974,46.38709677,46.73514434,44.25749983,45.29194079,39.90290859,40.6137719,42.83855727,48.5249489,42.47781379,..
Belgium,BEL,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,49.45889388,50.57225959,47.92735066,47.97174197,46.39269333,44.48811223,46.98082661,52.69133943,51.92473395,53.05375992,54.76104472,57.4803436,59.14663046,62.82390111,63.53480892,62.26279296,62.16260332,62.39655859,63.54851785,63.83793579,62.33358962
Belgium,BEL,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,42.92636002,42.45864607,40.6582475,38.9263147,38.15051281,41.70523494,43.67419244,47.0893558,45.59847302,46.77106085,49.21914239,50.55199386,52.54665004,57.79189995,56.11506305,55.52912824,55.33391754,57.19189972,61.38789385,59.20939579,57.94810672
Belize,BLZ,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,15.27082158,16.29570523,17.32691881,13.25039395,13.18680965,15.42178914,15.62565965,13.81303457,13.95912615,12.27964945,10.42503012,11.52963023,12.76631377,10.51886423,12.42273101,14.40300501,16.66604764,14.12360378,12.35543943,11.60441347,26.40986315,28.63481639,20.73716873
Belize,BLZ,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,23.07876122,17.53644999,15.57239678,11.97175984,13.84508513,13.63200543,14.80491683,11.14199239,15.64712755,20.62177483,21.25921673,19.95653146,19.57958862,24.99526308,22.89399003,21.91901316,23.20569416,27.7370055,26.37659105,37.94285449,28.77278244,24.58383125,18.74011173
Benin,BEN,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,22.47367192,19.55914408,22.06371559,25.28227682,23.91048073,21.73963646,23.4850402,19.81953882,22.01696333,24.22625178,25.75698634,24.03527828,20.58759091,31.67952634,30.8210268,10.08681417,11.98011783,5.211015402,2.097873975,8.073436577,1.151912051,3.403936933,..
Benin,BEN,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,17.32673638,12.68787676,9.831326318,7.966748221,15.41038526,14.17568957,17.63424692,15.38765386,20.37319066,24.95347253,21.85863874,20.84500357,21.29251003,37.58837167,30.88199147,24.66677109,17.81434624,12.38208396,24.86793639,28.17006323,36.41583722,26.1770827,..
Bermuda,BMU,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,46.60202644,40.64946326,45.91058462,49.6566942,44.97708455,43.00170246,43.08460546,43.87516905,43.53271238,45.19459014,42.03133703,40.01585346,39.8593731,39.07498879,57.93427957,54.63161656,..
Bermuda,BMU,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,20.01888461,24.46906586,23.62829665,25.88687468,28.57637379,29.7759261,26.86343585,26.61800319,27.63633557,30.12526837,31.33050539,31.31107902,40.26375708,38.70750131,36.97300092,34.88430216,..
Bhutan,BTN,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,3.016711625,6.831708367,4.55064034,1.656587276,0.968535543,0.691045109,1.253088611,0.494520624,0.382446972,0.340935799,0.665578123,0.271421432,0.694063667,1.434531832,1.694643336,7.923267029,6.151829829
Bhutan,BTN,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,56.57682138,27.64784553,17.03516783,34.51410653,27.80892254,27.78657981,28.58091905,41.81567295,48.76370283,43.15781491,46.30660345,37.3136048,35.55811074,34.26301737,44.09136827,45.74392427,29.20221959
Bolivia,BOL,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,47.36289203,42.32126696,41.59182254,31.21387653,28.84265335,33.62402054,39.65433664,39.21336012,45.35534332,41.19071013,35.36619967,27.9153554,22.6690965,21.67094646,18.53281434,17.6202409,16.45241146,14.45269751,11.65706658,8.558582557,20.35578113,17.2734243,8.321684043
Bolivia,BOL,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,8.533120227,9.198737174,14.983409,18.51969862,18.69810407,18.12484568,17.06263946,18.47135134,18.15488542,18.8493206,17.51967027,24.10334626,25.05198007,33.36420444,36.97809047,39.89832226,40.40559608,40.97221634,40.48041312,34.14928156,42.84723049,34.85397362,26.62568058
Bosnia and Herzegovina,BIH,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,38.07656234,36.97573693,34.57663992,37.50935482,34.23641377,33.30304383,34.24348765,45.12773844,44.05659935,44.74381499,48.47447175,42.73249062,41.53163265,36.76628454,37.01665585,34.20208673,33.32474519,31.788995,30.48038961,29.56121658,46.16186905,37.48777776,31.54195204
Bosnia and Herzegovina,BIH,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,13.35252003,14.568437,13.68370167,14.73775796,13.06853298,15.31413911,18.7648348,16.10113474,11.67877939,26.61806124,26.92976713,29.69250186,26.89377,23.03294872,25.35245225,23.13514492,20.64878588,15.38999385,14.70739794,16.88525965,25.50219422,23.7318161,17.95138049
Botswana,BWA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,6.849358101,14.21607588,12.92617833,9.469894113,7.847436241,13.92806816,15.83386478,19.48466081,17.36528048,18.98457231,20.68627895,32.01731585,18.66447612,26.52974678,34.07255076,30.40445318,32.31233517,28.02346093,20.3714719,14.02344816,50.14072276,38.22285035,24.30616567
Botswana,BWA,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,17.38279045,27.96544276,28.06705711,30.60593967,29.5869058,32.26884412,33.99659509,43.23551597,40.69459584,43.53337095,49.27298925,45.41911928,29.50458072,36.03892348,48.23022823,45.24154649,46.16534858,54.2114445,47.27792088,49.4747982,67.04493022,60.7545511,50.61436208
Brazil,BRA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,54.62109782,57.2801422,52.5168875,49.45703077,46.34707491,47.62031394,49.49248756,52.15275305,53.09149036,56.1399453,61.02199171,61.07508866,62.9075926,61.51082756,65.50881112,64.8766369,64.18329475,63.81140553,64.78861271,62.11008408,68.58233627,67.48187904,65.14630913
Brazil,BRA,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,35.44482354,40.23442055,41.58228713,45.58710617,40.24309344,43.66088701,43.1970233,40.78717748,40.24243576,45.72008838,47.08961177,46.0193657,48.83136933,47.76915468,51.34958275,57.58090141,59.18901516,52.8193138,51.65333439,51.85592605,63.57433102,52.95793859,47.37210307
British Virgin Islands,VGB,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,11.72570317,12.48767147,14.13899579,13.2141701,16.95081993,17.38713458,19.7536223,21.15351585,21.39146298,..,..,..,..,8.215352057,2.049274468,2.965559676,1.077737519,10.26086761,17.14996329,44.52444812,43.87137066,19.20749385
Brunei Darussalam,BRN,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,23.18263148,22.0441015,20.19854775,25.15934899,24.67264844,23.31264273,23.86540221,23.71569531,22.38827298,..,..,..,..,55.26656036,56.68891946,52.38982019,33.75256361,46.03706913,51.53064806,71.06674495,64.87510031,60.46456412
Bulgaria,BGR,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,18.43721915,19.95324795,18.92222806,16.47679102,17.1699039,15.905627,18.24105595,20.21865205,21.71328083,21.84962159,27.20341154,25.73624763,30.62182969,26.75908493,28.183545,31.48866688,29.42433111,27.76379322,30.39196613,35.33184758,49.89390677,50.51250323,47.25303844
